"ar","ma","i","iter","quantity","x_point"
0,0,0,1,1.90756800229147,1
0,0,0,1,0.152553584887573,2
0,0,0,1,-1.29808228689393,3
0,0,0,1,0.874510749579097,4
0,0,0,1,-0.656823029776703,5
0,0,0,1,-0.0657949356375211,6
0,0,0,1,-0.101819892555376,7
0,0,0,1,-2.54827215527591,8
0,0,0,1,0.727064304023203,9
0,0,0,1,1.28327341186084,10
0,0,0,1,1.10435664187116,11
0,0,0,1,-0.590005880072828,12
0,0,0,1,-0.251426709982529,13
0,0,0,1,0.62169806600962,14
0,0,0,1,-0.663660292706744,15
0,0,0,1,-0.183015575101593,16
0,0,0,1,-0.346684027518684,17
0,0,0,1,0.331268298809551,18
0,0,0,1,1.18435179908575,19
0,0,0,1,-0.089739225371922,20
0,0,0,1,-3.04902455296011,21
0,0,0,1,-1.69780462436444,22
0,0,0,1,-0.431592352218822,23
0,0,0,1,-0.277696934138792,24
0,0,0,1,1.43241787631277,25
0,0,0,1,0.535789715941084,26
0,0,0,1,0.234936823363981,27
0,0,0,1,0.227319734490448,28
0,0,0,1,-0.609210653168417,29
0,0,0,1,-0.593496887070423,30
0,0,0,1,0.923716975044453,31
0,0,0,1,-0.967792486873753,32
0,0,0,1,0.436838981467011,33
0,0,0,1,-0.989180610073136,34
0,0,0,1,0.921515977996508,35
0,0,0,1,-0.281661398236188,36
0,0,0,1,-0.802270533111534,37
0,0,0,1,-0.516555143709962,38
0,0,0,1,0.160783024826384,39
0,0,0,1,-1.61743170065285,40
0,0,0,1,0.172007591666916,41
0,0,0,1,1.6356946917489,42
0,0,0,1,0.00970120868256234,43
0,0,0,1,1.18238933013497,44
0,0,0,1,0.871442405616441,45
0,0,0,1,2.60156695366058,46
0,0,0,1,-0.101504927553814,47
0,0,0,1,-1.89788028511491,48
0,0,0,1,-0.805710728691694,49
0,0,0,1,-0.448429058181659,50
0,0,0,1,0.375351476738443,51
0,0,0,1,-0.579323393364793,52
0,0,0,1,0.828083891746379,53
0,0,0,1,2.03728943658725,54
0,0,0,1,-1.07936981529677,55
0,0,0,1,0.293416322488079,56
0,0,0,1,0.735042341112702,57
0,0,0,1,2.163020664324,58
0,0,0,1,0.559469891450686,59
0,0,0,1,-0.195535959013488,60
0,0,0,1,-0.874731866690849,61
0,0,0,1,-0.637469630400891,62
0,0,0,1,0.78224825879388,63
0,0,0,1,-0.345239085135934,64
0,0,0,1,0.320359962204398,65
0,0,0,1,0.864500162429349,66
0,0,0,1,-1.08335880104998,67
0,0,0,1,0.894005856430972,68
0,0,0,1,-0.380901354375546,69
0,0,0,1,-1.65889476197143,70
0,0,0,1,0.723252839721279,71
0,0,0,1,1.31104533407826,72
0,0,0,1,1.59585864988884,73
0,0,0,1,-0.447807285918045,74
0,0,0,1,1.85894965978406,75
0,0,0,1,-0.341054217930764,76
0,0,0,1,1.8199557508977,77
0,0,0,1,-0.131365254067195,78
0,0,0,1,1.12311690364193,79
0,0,0,1,0.780419671800086,80
0,0,0,2,0.258048585007672,1
0,0,0,2,0.767900494027077,2
0,0,0,2,1.73346337883195,3
0,0,0,2,-0.76045018898021,4
0,0,0,2,-0.55409516770455,5
0,0,0,2,1.3586947055769,6
0,0,0,2,0.130508442821211,7
0,0,0,2,-2.39171446754529,8
0,0,0,2,-0.824686945154863,9
0,0,0,2,-0.234056259173125,10
0,0,0,2,-1.00830535961467,11
0,0,0,2,-0.744594350200665,12
0,0,0,2,-0.898742325457434,13
0,0,0,2,0.0719899542831974,14
0,0,0,2,1.05317772607246,15
0,0,0,2,2.61298807014033,16
0,0,0,2,-0.26574654380581,17
0,0,0,2,-0.685969761521807,18
0,0,0,2,1.1328736658701,19
0,0,0,2,0.836421140052508,20
0,0,0,2,-0.911871738443655,21
0,0,0,2,0.386968016696324,22
0,0,0,2,1.13620167632666,23
0,0,0,2,2.06300187902831,24
0,0,0,2,-2.34648331489686,25
0,0,0,2,-0.861191308142339,26
0,0,0,2,1.20479410742845,27
0,0,0,2,-0.870682928005498,28
0,0,0,2,-0.509038515097638,29
0,0,0,2,-0.653125922857811,30
0,0,0,2,-1.94573773864922,31
0,0,0,2,-0.0060452193676659,32
0,0,0,2,-0.405999565230013,33
0,0,0,2,0.496953493270936,34
0,0,0,2,1.71330272990934,35
0,0,0,2,-0.642818582156652,36
0,0,0,2,-0.671936949518838,37
0,0,0,2,-0.728381031098081,38
0,0,0,2,-0.725540437718224,39
0,0,0,2,-0.863566234465082,40
0,0,0,2,-0.42513388000033,41
0,0,0,2,-1.83555684808803,42
0,0,0,2,0.776189756755072,43
0,0,0,2,0.128122498878117,44
0,0,0,2,0.108965239576109,45
0,0,0,2,-0.366755271372288,46
0,0,0,2,-0.597029400476528,47
0,0,0,2,0.887931242022805,48
0,0,0,2,-0.532229935561447,49
0,0,0,2,-1.06731304968073,50
0,0,0,2,0.0550253993514479,51
0,0,0,2,-0.982868477597859,52
0,0,0,2,0.762237682087703,53
0,0,0,2,-1.35372080677647,54
0,0,0,2,-0.837830051604357,55
0,0,0,2,-2.05113100279549,56
0,0,0,2,0.425352809100777,57
0,0,0,2,0.298696473635168,58
0,0,0,2,-0.502280525558976,59
0,0,0,2,-0.66144442457148,60
0,0,0,2,-0.582939113445738,61
0,0,0,2,-0.81537293851032,62
0,0,0,2,-0.743605522927917,63
0,0,0,2,-3.48957081447154,64
0,0,0,2,1.21882763440456,65
0,0,0,2,-0.0274770570166643,66
0,0,0,2,-0.46214140633631,67
0,0,0,2,0.159822645655275,68
0,0,0,2,0.0952219777974383,69
0,0,0,2,-0.0763564436120418,70
0,0,0,2,0.857286044596435,71
0,0,0,2,-0.514863791134248,72
0,0,0,2,1.11981151848893,73
0,0,0,2,1.16751044024244,74
0,0,0,2,-1.4214052749995,75
0,0,0,2,1.26038175917924,76
0,0,0,2,-0.635214017380377,77
0,0,0,2,-0.523720859529846,78
0,0,0,2,0.347527534615058,79
0,0,0,2,1.72324495497324,80
0,0,0,3,0.207864473587129,1
0,0,0,3,1.0585469821918,2
0,0,0,3,0.165277556503787,3
0,0,0,3,0.268983088322392,4
0,0,0,3,-0.480126123942281,5
0,0,0,3,-1.26105386029674,6
0,0,0,3,-2.15486478382388,7
0,0,0,3,0.476788414005338,8
0,0,0,3,-0.860814312406664,9
0,0,0,3,-0.437520678876461,10
0,0,0,3,-0.197287258049048,11
0,0,0,3,-0.299206979312431,12
0,0,0,3,-0.282461319272933,13
0,0,0,3,-1.59377806257114,14
0,0,0,3,-0.151568652393567,15
0,0,0,3,-0.187610990237989,16
0,0,0,3,0.1765138242656,17
0,0,0,3,-0.229706237197391,18
0,0,0,3,1.50438962177079,19
0,0,0,3,1.43248816529814,20
0,0,0,3,1.55151748138767,21
0,0,0,3,1.82816978153783,22
0,0,0,3,-0.0750911800120153,23
0,0,0,3,-0.157393313017818,24
0,0,0,3,-0.938400157210465,25
0,0,0,3,-0.192639591984716,26
0,0,0,3,-1.27720091858082,27
0,0,0,3,-0.223057191516855,28
0,0,0,3,-0.359272100417966,29
0,0,0,3,0.524964514252106,30
0,0,0,3,0.165977453337955,31
0,0,0,3,-0.716067483663742,32
