0,Data Scientist,        Novetta,"Crystal City, VA",,
1,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
2,Machine Learning Data Engineer,        Capital One,"Tysons Corner, VA",,
3,Statistical Associate,        Disney Parks & Resorts,"Lake Buena Vista, FL",,"Analyze and summarize data form multiple data sources (e.g., Food & Beverage Data Warehouse, D3, SAP, Longview)...."
4,"City Research Scientist, Modeling and Water Quality Planning",    DEPT OF ENVIRONMENT PROTECTION,"Queens, NY","$78,630 - $103,332 a year",Data and statistical analysis. Computer programming to analyze data and pre/post process model runs. The research scientist will be responsible for the...
5,Statistical Assistant,        Educational Testing Service,"Princeton, NJ 08541",,"Statistics, mathematics, data analysis, statistical analysis, data processing, psychology. Assemble and process data for routine statistical operations...."
6,Statistician - Research,    Portland VA Research Foundation,"Portland, OR",,"Extensive experience using SAS or other statistical software to analyze data from large clinical or administrative datasets, such as hospital and patient record..."
7,R & D Scientist **AMENDED,        National Geospatial-Intelligence Agency,"Springfield, VA","$94,796 - $145,629 a year",Particular challenges associated with the types of data this group analyzes include correlation across data sets assembled from multiple types of sensors and...
8,Graph Analytics/Machine Learning Senior Researcher,        Leidos,"Arlington, VA 22202 (Aurora Highlands area)",,"Strong data analysis skills using R or a comparable platform, and one programming language, e.g. Python, Perl, C/C++, Java...."
9,"Data Scientist, Analytics",    Oculus VR,"Menlo Park, CA",,The Data Scientist Analytics role has work across the following four areas:. We’re looking for Data Scientists to work on our core and business products at...
10,Statistician,        ACI Federal,"Bethesda, MD",,"Collects, classifies and analyzes quantified and statistical data inprojects and special studies...."
11,Corporate Research Operations Analyst,        DiscoverOrg,"Vancouver, WA",,"You have experience in data analysis or project management. Match, merge, and append data from different sources (Excel spreadsheets, text files, etc.)...."
12,Statistical Assistant,        Mathematica Policy Research,"Washington, DC 20024 (South West area)",,"Assistants support all statistical activities including survey sampling, data analysis, and project management...."
13,Data Scientist,    xometry,"Durham, NC",,
14,Data Scientist,        Deloitte,"Arlington, VA 22209",,
15,Research Scientist,        Child Trends,"Bethesda, MD 20814",,"Experience with primary data collection and data management. Knowledgeable about data security. It requires the ability to design a research approach, guide..."
16,Entry-level Technology Analyst,        AECOM,"Arlington, VA 22201 (Lyon Village area)",,Responses to data call. The individual must interface with senior ONR scientists and managers while working cooperatively with the FNC Support Staff to provide...
17,Statistical Regression Analyst,        Technology Service Corporation,"Arlington, VA 22202 (Aurora Highlands area)",,"Government, contractor, and documented data reserves to generate tailored information. Ability to search government and commercial sources of data focused on..."
18,Statistician III,        Commonwealth of Massachusetts,"Milford, MA 01757","$55,017 - $78,763 a year","Accepted research methods, data collection and auditing, advanced data analysis. Experience in applying research techniques and advanced data analysis to actual..."
19,Statistician - Administration,        George Washington Medical Faculty Associates,"Washington, DC",,"Perform statistical data analyses. Validate the accuracy, consistency and integrity of the statistical output generated during data analysis of study data...."
20,Business Development Research Analyst,        Booz Allen Hamilton,"McLean, VA",,"Experience with analyzing data. Booz Allen Hamilton has been at the forefront of strategy and technology for more than 100 years Today, the firm provides..."
